epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4355.28,0.87287,0.87175,1.15989,0.89714,0.74576,0.84922,0.68167,0.94391,0.95394,1.31087,0.0011882,0.0011882,0.0011882
43,4403.17,0.8952,0.90483,1.17263,0.95459,0.67797,0.83515,0.69353,0.79292,0.9487,1.18698,0.0011684,0.0011684,0.0011684
44,4522.14,0.86989,0.85288,1.16062,0.94817,0.71186,0.84939,0.69668,0.88165,0.85636,1.21189,0.0011486,0.0011486,0.0011486
45,4651.12,0.84101,0.82315,1.12858,0.86884,0.78598,0.8326,0.70086,0.86424,0.80613,1.20056,0.0011288,0.0011288,0.0011288
46,4771.78,0.86901,0.85347,1.15714,0.92731,0.74576,0.83218,0.68069,0.97662,0.80931,1.28548,0.001109,0.001109,0.001109
47,4818.06,0.86737,0.8279,1.14692,0.84339,0.73025,0.81451,0.66418,0.98819,0.8893,1.32604,0.0010892,0.0010892,0.0010892
48,4878.05,0.8238,0.78349,1.13835,0.94298,0.76271,0.86202,0.70903,0.87882,0.72697,1.21071,0.0010694,0.0010694,0.0010694
49,4946.06,0.84209,0.85872,1.13644,0.95644,0.74425,0.86691,0.7042,0.9631,0.71994,1.26331,0.0010496,0.0010496,0.0010496
50,4996.1,0.82799,0.80282,1.13127,0.93227,0.77966,0.87493,0.71317,0.9353,0.72931,1.25847,0.0010298,0.0010298,0.0010298
51,5069.06,0.8294,0.79309,1.12596,0.93807,0.77966,0.88312,0.72747,0.8154,0.68426,1.16816,0.00101,0.00101,0.00101
52,5133.45,0.81023,0.76041,1.13173,0.94018,0.79924,0.87139,0.71482,0.87721,0.75591,1.20498,0.0009902,0.0009902,0.0009902
53,5188.75,0.83261,0.83854,1.12285,0.96617,0.74576,0.88061,0.72181,1.00462,0.70946,1.31109,0.0009704,0.0009704,0.0009704
54,5252.99,0.82139,0.79149,1.11805,0.82729,0.72881,0.81989,0.68515,0.9361,0.88241,1.24099,0.0009506,0.0009506,0.0009506
55,5318.65,0.83291,0.76617,1.1279,0.91145,0.72881,0.87087,0.68932,1.01184,0.71447,1.30458,0.0009308,0.0009308,0.0009308
56,5440.2,0.82928,0.77096,1.12026,0.83759,0.74576,0.83753,0.63504,1.0318,0.93697,1.35308,0.000911,0.000911,0.000911
57,5576.77,0.80087,0.73128,1.10559,0.9133,0.72881,0.83168,0.67711,0.9838,0.81691,1.29111,0.0008912,0.0008912,0.0008912
58,5723.15,0.79157,0.71034,1.10277,0.88246,0.7635,0.87429,0.70388,0.92315,0.72257,1.2454,0.0008714,0.0008714,0.0008714
59,5846.46,0.81421,0.73885,1.10882,0.94881,0.76271,0.88264,0.71646,0.88764,0.65377,1.23655,0.0008516,0.0008516,0.0008516
60,5964.45,0.77993,0.69649,1.08957,0.96277,0.79661,0.90221,0.72792,0.89874,0.62788,1.22086,0.0008318,0.0008318,0.0008318
61,6072.72,0.81556,0.72781,1.11626,0.90291,0.74576,0.86529,0.72073,0.85306,0.76312,1.2006,0.000812,0.000812,0.000812
62,6204.33,0.77569,0.6893,1.09899,0.97709,0.72309,0.87021,0.70389,0.91363,0.7669,1.23424,0.0007922,0.0007922,0.0007922
63,6304.46,0.77612,0.68462,1.08999,0.98012,0.83584,0.91046,0.72042,0.94567,0.61859,1.25154,0.0007724,0.0007724,0.0007724
64,6430.86,0.77627,0.73868,1.09687,0.93705,0.75702,0.88642,0.72539,0.94276,0.64922,1.28126,0.0007526,0.0007526,0.0007526
65,6545.03,0.76109,0.69688,1.08882,0.89867,0.79661,0.8846,0.73669,0.89734,0.66127,1.19871,0.0007328,0.0007328,0.0007328
66,6661.87,0.75833,0.63933,1.07484,0.9356,0.77966,0.89773,0.75546,0.86606,0.57093,1.20328,0.000713,0.000713,0.000713
67,6729.41,0.7466,0.64789,1.07631,0.91945,0.74576,0.87898,0.72787,0.91466,0.64343,1.25055,0.0006932,0.0006932,0.0006932
68,6797.4,0.74119,0.63958,1.06669,0.97457,0.84746,0.90565,0.75585,0.89728,0.58103,1.22768,0.0006734,0.0006734,0.0006734
69,6866.94,0.74488,0.63901,1.08802,0.98022,0.84023,0.91232,0.73618,0.95005,0.54969,1.25968,0.0006536,0.0006536,0.0006536
70,6944.19,0.76172,0.65467,1.08675,0.90443,0.84746,0.90105,0.71742,0.97295,0.6027,1.29407,0.0006338,0.0006338,0.0006338
71,6990.85,0.75118,0.66979,1.08163,0.92385,0.82254,0.88108,0.71907,0.97876,0.66209,1.29771,0.000614,0.000614,0.000614
72,7046.79,0.73881,0.63646,1.07245,0.93591,0.74263,0.87799,0.7344,0.8787,0.64494,1.21831,0.0005942,0.0005942,0.0005942
73,7115.56,0.74424,0.66728,1.08079,0.93579,0.74109,0.87984,0.72192,0.96773,0.64097,1.29431,0.0005744,0.0005744,0.0005744
74,7186.32,0.74019,0.61072,1.06783,0.93043,0.72881,0.87144,0.70692,0.98977,0.60624,1.3356,0.0005546,0.0005546,0.0005546
75,7253.94,0.71625,0.60826,1.05386,0.86502,0.7604,0.86748,0.70449,0.93159,0.64837,1.22149,0.0005348,0.0005348,0.0005348
76,7316.9,0.71679,0.58506,1.05536,0.97487,0.6575,0.81234,0.69178,0.99152,0.71861,1.27518,0.000515,0.000515,0.000515
