epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,8807.95,0.44548,0.64448,0.30154,0.9122,0.98163,1,0.9827,0.97454,0.98163,1,0.9827,0.97802,0.24932,0.30005,0.27642,0.79041,0.001406,0.001406,0.001406
32,9109.9,0.43291,0.63243,0.29379,0.90446,0.98193,1,0.9932,0.98264,0.98193,1,0.9932,0.98705,0.22412,0.28559,0.30573,0.78014,0.0013862,0.0013862,0.0013862
33,9398.34,0.43489,0.64864,0.32327,0.91407,0.98249,1,0.99254,0.98799,0.98249,1,0.99254,0.98136,0.2157,0.28134,0.20158,0.77428,0.0013664,0.0013664,0.0013664
34,9695.19,0.43322,0.62329,0.29741,0.90098,0.98232,1,0.99287,0.98008,0.98232,1,0.99287,0.98606,0.22604,0.29975,0.21798,0.77671,0.0013466,0.0013466,0.0013466
35,9946.15,0.41892,0.61049,0.29142,0.89757,0.96627,1,0.99115,0.98139,0.96627,1,0.99115,0.97592,0.24459,0.34362,0.27459,0.78093,0.0013268,0.0013268,0.0013268
36,10231.1,0.4238,0.61246,0.28736,0.90107,0.98217,1,0.99402,0.98758,0.98217,1,0.99402,0.98785,0.21696,0.30316,0.23754,0.77416,0.001307,0.001307,0.001307
37,10483.3,0.41804,0.5797,0.28041,0.89599,0.98264,1,0.99008,0.98089,0.98264,1,0.99008,0.98302,0.23638,0.2964,0.19356,0.7775,0.0012872,0.0012872,0.0012872
38,10770.4,0.43606,0.6045,0.29302,0.89854,0.98168,1,0.98959,0.97874,0.98168,1,0.98959,0.98647,0.22053,0.27881,0.22281,0.77587,0.0012674,0.0012674,0.0012674
39,11018,0.41715,0.60461,0.28413,0.89059,0.95172,1,0.98833,0.98433,0.95172,1,0.98833,0.98372,0.2044,0.28327,0.29881,0.77101,0.0012476,0.0012476,0.0012476
40,11300.8,0.41954,0.59124,0.28185,0.89252,0.9826,1,0.99336,0.98575,0.9826,1,0.99336,0.98558,0.22669,0.29019,0.19821,0.7803,0.0012278,0.0012278,0.0012278
41,11584.2,0.40582,0.57745,0.28709,0.88833,0.98239,1,0.9891,0.98226,0.98239,1,0.9891,0.98359,0.20455,0.28529,0.20549,0.77355,0.001208,0.001208,0.001208
42,11923.8,0.40968,0.58608,0.27073,0.88982,0.96692,1,0.98172,0.97596,0.96692,1,0.98172,0.97518,0.22353,0.30311,0.21693,0.78387,0.0011882,0.0011882,0.0011882
43,12173.8,0.39936,0.57283,0.27029,0.88404,0.97646,1,0.99254,0.98931,0.97646,1,0.99254,0.98769,0.20621,0.29911,0.19065,0.77373,0.0011684,0.0011684,0.0011684
44,12454,0.40528,0.59135,0.27244,0.89194,0.96238,1,0.99183,0.97908,0.96238,1,0.99183,0.98526,0.21631,0.28286,0.21163,0.77447,0.0011486,0.0011486,0.0011486
45,12717.6,0.40971,0.59976,0.27307,0.89682,0.97767,1,0.9909,0.98668,0.97767,1,0.9909,0.98345,0.21183,0.30655,0.19152,0.77692,0.0011288,0.0011288,0.0011288
46,13011.6,0.40252,0.59635,0.27491,0.89226,0.98195,1,0.99074,0.98041,0.98195,1,0.99074,0.98648,0.20703,0.2928,0.2463,0.77488,0.001109,0.001109,0.001109
47,13281.4,0.41132,0.61334,0.2788,0.89614,0.96585,1,0.99254,0.98136,0.96585,1,0.99254,0.97739,0.21742,0.3136,0.24064,0.77224,0.0010892,0.0010892,0.0010892
48,13553.1,0.40262,0.57743,0.27162,0.88766,0.98266,1,0.99172,0.98299,0.98266,1,0.99172,0.98385,0.2174,0.27117,0.18335,0.77666,0.0010694,0.0010694,0.0010694
49,13809.8,0.39477,0.57481,0.25386,0.88357,0.95531,1,0.98844,0.98452,0.95531,1,0.98844,0.96965,0.20929,0.2921,0.20435,0.77316,0.0010496,0.0010496,0.0010496
50,14170.6,0.39272,0.5858,0.25781,0.88304,0.98254,1,0.99484,0.98974,0.98254,1,0.99484,0.9891,0.2079,0.29353,0.18007,0.76927,0.0010298,0.0010298,0.0010298
51,14434.8,0.3965,0.56443,0.25422,0.8823,0.97196,1,0.9932,0.99095,0.97196,1,0.9932,0.98119,0.20602,0.28506,0.20426,0.77381,0.00101,0.00101,0.00101
52,14723.9,0.39316,0.56909,0.26397,0.88648,0.98196,1,0.98844,0.98229,0.98196,1,0.98844,0.97861,0.23074,0.2818,0.25912,0.77682,0.0009902,0.0009902,0.0009902
53,15002.1,0.38045,0.56023,0.35777,0.87636,0.98221,1,0.99254,0.99133,0.98221,1,0.99254,0.98458,0.19812,0.26636,0.19123,0.77203,0.0009704,0.0009704,0.0009704
54,15427,0.37413,0.5529,0.24961,0.87709,0.98263,1,0.99238,0.98826,0.98263,1,0.99238,0.98319,0.19529,0.29435,0.18001,0.77417,0.0009506,0.0009506,0.0009506
55,15707.5,0.37953,0.56697,0.2544,0.87914,0.95107,1,0.99042,0.98668,0.95107,1,0.99042,0.98722,0.20156,0.27526,0.23983,0.78058,0.0009308,0.0009308,0.0009308
56,16001.9,0.37738,0.56811,0.2439,0.88354,0.95152,1,0.95176,0.95069,0.95152,1,0.95176,0.94078,0.19196,0.27498,0.22859,0.77526,0.000911,0.000911,0.000911
57,16294,0.37018,0.54482,0.23922,0.87857,0.98153,1,0.99205,0.9908,0.98153,1,0.99205,0.98747,0.1954,0.28034,0.17335,0.77177,0.0008912,0.0008912,0.0008912
