epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,538.267,0.30198,0.43156,0.19008,0.85482,0.98276,1,0.99254,0.9908,0.98276,1,0.99254,0.98936,0.16942,0.23169,0.14361,0.76683,0.0006932,0.0006932,0.0006932
134,766.895,0.29147,0.43464,0.18163,0.84912,0.98276,1,0.99369,0.99184,0.98276,1,0.99369,0.9926,0.1697,0.23012,0.13997,0.76689,0.0006833,0.0006833,0.0006833
135,970.156,0.29751,0.43027,0.18395,0.854,0.98265,1,0.99172,0.98959,0.98265,1,0.99172,0.9909,0.16244,0.23902,0.1325,0.76164,0.0006734,0.0006734,0.0006734
136,1259.74,0.30275,0.42889,0.1924,0.85436,0.96709,1,0.99369,0.99043,0.96709,1,0.99369,0.99251,0.16427,0.24027,0.14622,0.76624,0.0006635,0.0006635,0.0006635
137,1495.79,0.29759,0.42625,0.18604,0.85294,0.9826,1,0.99205,0.98966,0.9826,1,0.99205,0.9893,0.16369,0.23346,0.14049,0.76428,0.0006536,0.0006536,0.0006536
138,1742.77,0.29445,0.41482,0.18142,0.84693,0.98274,1,0.9909,0.98286,0.98274,1,0.9909,0.98978,0.15775,0.23973,0.13754,0.76141,0.0006437,0.0006437,0.0006437
139,1972.9,0.28009,0.40197,0.17393,0.84978,0.98268,1,0.99238,0.98998,0.98268,1,0.99238,0.98886,0.15876,0.23634,0.13554,0.76414,0.0006338,0.0006338,0.0006338
140,2207.07,0.28166,0.40917,0.17702,0.84262,0.98275,1,0.99287,0.99081,0.98275,1,0.99287,0.99203,0.15602,0.22618,0.14509,0.76863,0.0006239,0.0006239,0.0006239
141,2456.04,0.28116,0.41275,0.17347,0.84872,0.98274,1,0.99238,0.98768,0.98274,1,0.99238,0.99186,0.15394,0.24323,0.13646,0.76668,0.000614,0.000614,0.000614
142,2679.82,0.27686,0.39933,0.1728,0.84535,0.98266,1,0.98959,0.9872,0.98266,1,0.98959,0.98394,0.15715,0.24354,0.13511,0.75981,0.0006041,0.0006041,0.0006041
143,2889.5,0.28409,0.40859,0.1726,0.84264,0.98237,1,0.99205,0.99058,0.98237,1,0.99205,0.99129,0.15273,0.23307,0.12786,0.76197,0.0005942,0.0005942,0.0005942
144,3142.24,0.28577,0.4062,0.17658,0.84418,0.98274,1,0.99254,0.99025,0.98274,1,0.99254,0.99173,0.15689,0.2352,0.13042,0.76056,0.0005843,0.0005843,0.0005843
