epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,9356.09,0.46014,0.6559,0.31369,0.91622,0.96633,1,0.9932,0.95649,0.96633,1,0.9932,0.99,0.30746,0.30211,0.27234,0.80839,0.001703,0.001703,0.001703
32,9640.95,0.45669,0.64393,0.32695,0.92865,0.96732,1,0.99205,0.96404,0.96732,1,0.99205,0.98388,0.2523,0.30958,0.23209,0.78934,0.0016931,0.0016931,0.0016931
33,9993.27,0.4448,0.64048,0.31,0.90897,0.96637,1,0.99123,0.97026,0.96637,1,0.99123,0.98671,0.27433,0.33937,0.2219,0.79562,0.0016832,0.0016832,0.0016832
34,10380.2,0.43484,0.63717,0.30381,0.91295,0.97192,1,0.98516,0.97411,0.97192,1,0.98516,0.97057,0.23365,0.31699,0.24335,0.77838,0.0016733,0.0016733,0.0016733
35,10645.9,0.43662,0.6479,0.30433,0.90738,0.98181,1,0.98467,0.96011,0.98181,1,0.98467,0.98272,0.25732,0.28946,0.22111,0.78353,0.0016634,0.0016634,0.0016634
36,10984.5,0.44108,0.61916,0.30487,0.91267,0.98233,1,0.9932,0.97912,0.98233,1,0.9932,0.99225,0.23407,0.29624,0.22727,0.78585,0.0016535,0.0016535,0.0016535
37,11299.9,0.43816,0.631,0.31132,0.91282,0.96463,1,0.98746,0.97303,0.96463,1,0.98746,0.98228,0.25748,0.35067,0.29544,0.78395,0.0016436,0.0016436,0.0016436
38,11633.8,0.44054,0.62618,0.30006,0.91242,0.98221,1,0.98713,0.98255,0.98221,1,0.98713,0.98218,0.23022,0.28388,0.2277,0.77862,0.0016337,0.0016337,0.0016337
39,11936.3,0.42674,0.6261,0.29766,0.90651,0.98217,1,0.99205,0.97964,0.98217,1,0.99205,0.98823,0.23624,0.32401,0.21292,0.78847,0.0016238,0.0016238,0.0016238
40,12347.1,0.43714,0.62147,0.29928,0.91633,0.98192,1,0.98385,0.97922,0.98192,1,0.98385,0.97844,0.20974,0.29444,0.22693,0.77605,0.0016139,0.0016139,0.0016139
41,12648.8,0.4267,0.60763,0.29473,0.90026,0.98267,1,0.97926,0.96619,0.98267,1,0.97926,0.97421,0.24299,0.31425,0.21216,0.78223,0.001604,0.001604,0.001604
42,13024.4,0.4276,0.61812,0.29433,0.90372,0.9814,1,0.98877,0.98124,0.9814,1,0.98877,0.98388,0.21759,0.32981,0.23501,0.78043,0.0015941,0.0015941,0.0015941
43,13339.9,0.42379,0.6019,0.28854,0.90312,0.98167,1,0.98303,0.97511,0.98167,1,0.98303,0.97728,0.22074,0.2908,0.20465,0.77757,0.0015842,0.0015842,0.0015842
44,13645.7,0.42453,0.60768,0.28133,0.89969,0.98181,1,0.99451,0.98073,0.98181,1,0.99451,0.98641,0.25216,0.28235,0.20265,0.7888,0.0015743,0.0015743,0.0015743
45,13983.9,0.43269,0.61036,0.29036,0.90585,0.96757,1,0.97975,0.96549,0.96757,1,0.97975,0.97349,0.24794,0.3097,0.24819,0.78329,0.0015644,0.0015644,0.0015644
46,14387.8,0.4243,0.60073,0.28251,0.90303,0.98221,1,0.99451,0.98802,0.98221,1,0.99451,0.99068,0.22474,0.28645,0.22229,0.78733,0.0015545,0.0015545,0.0015545
47,14674.4,0.42984,0.63104,0.28448,0.89786,0.98211,1,0.99238,0.98816,0.98211,1,0.99238,0.9825,0.22491,0.31613,0.2168,0.77851,0.0015446,0.0015446,0.0015446
48,14996.2,0.44355,0.63749,0.30002,0.90596,0.98254,1,0.99484,0.9832,0.98254,1,0.99484,0.99145,0.22333,0.29943,0.19944,0.78048,0.0015347,0.0015347,0.0015347
49,15321.8,0.41739,0.59663,0.28434,0.89707,0.98198,1,0.99418,0.988,0.98198,1,0.99418,0.99314,0.21166,0.29824,0.20825,0.77818,0.0015248,0.0015248,0.0015248
50,15636.1,0.42354,0.59958,0.28541,0.90421,0.98268,1,0.98303,0.97481,0.98268,1,0.98303,0.98022,0.23722,0.2816,0.20096,0.78386,0.0015149,0.0015149,0.0015149
51,15882.7,0.42107,0.58987,0.28024,0.89905,0.97521,1,0.99254,0.9883,0.97521,1,0.99254,0.99071,0.22489,0.27966,0.19813,0.78101,0.001505,0.001505,0.001505
52,16162.3,0.41793,0.59404,0.26977,0.90175,0.9824,1,0.97975,0.97136,0.9824,1,0.97975,0.97448,0.20953,0.28675,0.19876,0.78032,0.0014951,0.0014951,0.0014951
53,16436.6,0.45558,0.64878,0.37452,0.9522,0.98264,1,0.9868,0.9821,0.98264,1,0.9868,0.98286,0.20263,0.28222,0.19158,0.77741,0.0014852,0.0014852,0.0014852
54,16746.1,0.40497,0.59754,0.27733,0.8931,0.98265,1,0.99287,0.98532,0.98265,1,0.99287,0.98655,0.19835,0.28854,0.1738,0.77482,0.0014753,0.0014753,0.0014753
55,17010.7,0.40608,0.59017,0.27098,0.8971,0.98204,1,0.99254,0.98733,0.98204,1,0.99254,0.98498,0.20114,0.30897,0.19754,0.77363,0.0014654,0.0014654,0.0014654
56,17310.2,0.41204,0.60158,0.27453,0.89341,0.98201,1,0.99123,0.98296,0.98201,1,0.99123,0.98404,0.22774,0.2947,0.21804,0.77955,0.0014555,0.0014555,0.0014555
